ensembl_gene_id	mean_plddt
YGR094W	88.49091485507246
YOR236W	95.20838862559242
YFL009W	73.8113863928113
YAL024C	48.61604181184669
YOR274W	89.26273364485981
YLR438W	96.95955188679245
YNL192W	68.05027409372236
YJL128C	62.921976047904195
YIL099W	86.73856102003643
YEL024W	87.52818604651162
YDR146C	49.24314527503526
YPL262W	94.44235655737705
YPR047W	91.39413646055436
YBR018C	94.18396174863388
YKL184W	89.18497854077253
YER026C	74.52735507246376
YDR523C	71.97636734693877
YDR522C	80.08011952191235
YNL277W	86.93522633744855
YJL208C	84.83355623100304
YMR257C	80.2967125
YOR151C	87.06385620915033
YOR302W	70.4124
YJL167W	95.6203125
YJL166W	88.79393617021276
YJR010W	96.25187866927592
YHR005C	77.52883474576271
YDR127W	89.5658879093199
YPR134W	68.95675373134328
YLR451W	70.49858916478556
YIR019C	40.48318215069495
YJL005W	66.48171767028627
YCR005C	94.40023913043478
YHR023W	70.60971473029046
YCR018C	59.5889592760181
YOR260W	73.90889273356402
YPL237W	68.57371929824562
YJL194W	65.23705653021443
YLR377C	92.63574712643678
YEL060C	74.55692913385826
YLR142W	83.9469537815126
YBL075C	88.36164869029275
YBL076C	91.05286380597015
YBR084W	91.67147692307692
YDR298C	82.47514150943397
YPL016W	60.27033485540335
YGL203C	79.30698216735254
YFL018C	94.68310621242485
YML085C	91.81912751677852
YML124C	91.80514606741573
YKL022C	69.14536904761904
YJL087C	87.54665054413543
YDL227C	90.85375426621161
YOR313C	64.77328402366864
YJL026W	83.17453634085213
YDR232W	90.72054744525548
YLR182W	70.18530510585305
YNL138W-A	92.55105882352942
YLR333C	82.29787037037038
YER188C-A	50.38969696969697
YKR057W	94.11781609195403
YJL190C	92.40623076923077
YPR102C	91.48333333333333
YLR264W	91.13701492537314
YDR524W-C	77.74758620689656
YBL039W-B	71.19508474576271
YBL100W-C	62.84461538461539
